rank,name,mrp_price,discount,original_price
1,Women Solid Regular Black Skirt,"₹3,499",62% off,"₹1,324"
2,Women Solid Pleated Light Blue Skirt,"₹1,999",85% off,₹284
3,Women Solid A-line Green Skirt,"₹1,099",84% off,₹169
4,Women Solid Flared Black Skirt,"₹1,999",83% off,₹324
5,Women Solid Straight Dark Blue Skirt,"₹1,499",78% off,₹324
6,Women Solid Pleated Brown Skirt,"₹1,999",64% off,₹712
7,Women Solid A-line Green Skirt,"₹1,149",84% off,₹178
8,Women Solid Straight Dark Blue Skirt,"₹1,499",78% off,₹323
9,Women Solid A-line Black Skirt,₹949,85% off,₹133
10,Women Solid Pencil Black Skirt,"₹1,699",79% off,₹349
11,Women Solid Flared Maroon Skirt,"₹1,899",80% off,₹374
12,Women Embroidered Flared Pink Skirt,"₹3,499",62% off,"₹1,324"
13,Women Solid Flared Purple Skirt,"₹1,999",86% off,₹264
14,Women Solid Pencil Black Skirt,"₹1,499",82% off,₹260
15,Women Printed A-line Black Skirt,₹999,77% off,₹224
16,Women Solid Flared Beige Skirt,"₹1,049",85% off,₹147
17,Women Solid Regular White Skirt,"₹2,499",53% off,"₹1,174"
18,Women Solid Regular Brown Skirt,"₹3,499",62% off,"₹1,324"
19,Women Solid Flared Black Skirt,"₹1,999",86% off,₹264
20,Women Solid Flared Pink Skirt,"₹1,999",83% off,₹324
21,Women Floral Print Regular Blue Skirt,"₹3,499",52% off,"₹1,674"
22,Women Checkered Regular Red Skirt,"₹2,999",62% off,"₹1,124"
23,Women Solid Regular Black Skirt,"₹1,099",75% off,₹267
24,Women Floral Print Pleated Yellow Skirt,"₹1,599",77% off,₹354
25,Women Solid Flared Maroon Skirt,"₹1,499",82% off,₹264
26,Women Solid Flared Green Skirt,"₹1,199",85% off,₹168
27,Women Checkered Pleated Beige Skirt,"₹1,499",54% off,₹684
28,Women Floral Print Regular Multicolor Skirt,"₹3,499",52% off,"₹1,674"
29,Women Floral Print A-line Pink Skirt,"₹1,499",56% off,₹647
30,Women Solid Flared Brown Skirt,"₹1,599",84% off,₹245
31,Women Checkered Flared Red Skirt,"₹1,499",54% off,₹684
32,Women Solid Pleated Black Skirt,"₹1,499",51% off,₹724
33,Women Solid Pencil Green Skirt,"₹1,699",79% off,₹349
34,Women Solid Flared Light Blue Skirt,"₹1,549",85% off,₹219
35,Women Solid Flared Maroon Skirt,"₹1,999",83% off,₹324
36,Women Solid Flared Black Skirt,"₹1,099",85% off,₹154
37,"Women Checkered Pleated Black, White Skirt","₹1,499",54% off,₹684
38,Women Solid A-line Red Skirt,"₹1,299",67% off,₹424
39,Women Solid Skorts Maroon Skirt,"₹1,649",87% off,₹205
40,Women Solid A-line Orange Skirt,"₹1,249",85% off,₹175
